What is your age?,Gender,Class,City/ Residencial status,Type of Family,What type of video games do you typically play?,Name the video game you usually play ,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,"If I have to resort to violence to protect my rights, I will","Once I became so mad, I broke things",When people disagree with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?
18,male,12th,Lahore,joint,fighting,PUBG,more than 2 hour,less than 1 hour,I feel aggressive,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,yes,yes
19,male,12th,zhob,joint,action,gta vice city,more than 1 hour,more than 1 hour,nothigs,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,no,no
19,male,12th,Lahore ,joint,fighting,Taken 5,more than 2 hour,more than 2 hour,Aggression,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,no,yes
19,male,12th,Lahore,joint,fighting,Clash of clans,more than 1 hour,less than 1 hour,Nill,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,no,yes
28 year,female,AM,Student,joint,action,Pubg,more than 1 hour,more than 1 hour,"Relax
",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,yes,yes
19,male,12th,Zhob,joint,sports,Football game,less than 1 hour,less than 1 hour,Some experience,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,no,yes
19,female,B.com,Nankana sahib ,joint,puzzle,Puzzle,less than 1 hour,less than 1 hour,Roud,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,no,yes
17,female,Ets,Lahore,joint,roleplay,Mine craft,less than 1 hour,less than 1 hour,No,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,no,no
18,female,12th,Nankana sahib,extended,puzzle,Candy manner home design ,less than 1 hour,less than 1 hour,Don't play violent games,Disagree,Disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,no,yes
18,female,12th,Lahore ,joint,sports,Subway surfer's ,less than 1 hour,less than 1 hour,Feeling relaxed ,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,no,yes
19,male,12th,Zhob,nuclear,sports,Football,more than 1 hour,less than 1 hour,Excited,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,no,yes
18,female,12th,Lahore,joint,action,Mind games,more than 1 hour,less than 1 hour,Anger increase,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,no,yes
24,male,12th,Lahore,joint,sports,Mission imposible ,more than 2 hour,more than 1 hour,Very good,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,yes,yes
20,male,12th,Killa Siaf Ullah ,joint,fighting,Sabway surpar,more than 5 hour,more than 2 hour,Na thing,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,no,yes
19,male,12th,Lahore,joint,first person shooter,Counter Strike ,more than 3 hour,more than 2 hour,Liking arms and ammunitions,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,no,no
18,male,10th,Zhob,joint,sports,Football ,less than 1 hour,less than 1 hour,Good ,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,yes,no
"20, ",male,12th,115 sector E talha block bahria town lahore,nuclear,action,Gta 5,more than 5 hour,more than 5 hour,"Nothing 
",Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,yes,no
20,male,13,Lahore,extended,fighting,Fighring,less than 1 hour,less than 1 hour,Time,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,yes,yes
20,male,Bachelors level,Lahore,joint,sports,Cricket,less than 1 hour,less than 1 hour,I don't experience any change ,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,no,yes
