What is your age?,Gender,Class,City/ Residencial status,Type of Family,What type of video games do you typically play?,Name the video game you usually play ,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,"If I have to resort to violence to protect my rights, I will","Once I became so mad, I broke things",When people disagree with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?
19,male,9th,Lahore ,joint,first person shooter,Call of duty mobile ,more than 2 hour,more than 2 hour,Excited,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,yes,no
15,female,10th,Lahore,nuclear,puzzle,Brain test,less than 1 hour,less than 1 hour,No change,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,no,yes
20,female,12th,Lahore,nuclear,fighting,Call of duty,less than 1 hour,less than 1 hour,No changes,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,no,yes
15,male,9th,Lahore,joint,action,Call of duty,more than 5 hour,more than 5 hour,I want to shoot every moving thing on earth.,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,no,yes
17,male,12th,Lahore,joint,action,Counter Strike 1.6,more than 3 hour,more than 2 hour,I see everyone as my target and sometimes I wanted to implement the game scenario in real life. ,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,yes,no
18,female,12th,Lahore,joint,fighting,Gta ,less than 1 hour,more than 1 hour,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,no,no
15,female,9th,pakpattan ,nuclear,action,PUBG,more than 3 hour,more than 2 hour,nothing,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,no,no
20,male,12th,Lahore,joint,action,Pubg,more than 2 hour,more than 2 hour,Nothing ,Neither agree nor disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,no,yes
20,female,Bsc (hons),Lahore,nuclear,action,Call of duty,more than 1 hour,less than 1 hour,Getting annoyed easily ,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,no,yes
20,female,12th,Lahore,nuclear,action,Ludo,more than 3 hour,less than 1 hour,Nothing ,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,no,yes
19,female,12th,Lahore,nuclear,sports,No one,less than 1 hour,less than 1 hour,No change,Neither agree nor disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Agree,no,no
20,female,12th,Lahore,joint,fighting,PUBG,more than 3 hour,less than 1 hour,Annoying ,Agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,no,no
18,female,12th,Lahore,nuclear,fighting,PUBG,more than 5 hour,more than 3 hour,Maybe I fight with everyone ,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,yes,yes
16,male,10th,Lahore,extended,action,Pubg,less than 1 hour,less than 1 hour,Aggressiveness ,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,no,no
19,female,Bs interior designing ,Wazirabad ,joint,fighting,Hkjv,less than 1 hour,less than 1 hour,Rybvj,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Disagree,yes,yes
20,male,12th,Lahore,nuclear,first person shooter,"PubG,Arena Breakout",more than 3 hour,more than 3 hour,Relaxed,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,no,no
18,female,Bba,Lahore ,joint,action,Pubg,less than 1 hour,less than 1 hour,Nothing ,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,yes,yes
18,male,BS Commerce ,Lahore,joint,sports,Fifa,more than 1 hour,less than 1 hour,Nothing ,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,no,no
18,female,12th,Lahorw,nuclear,Violent,Counter Strike,more than 1 hour,more than 1 hour,Not any,Agree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,no,yes
15,male,9th,Pakpattan,nuclear,action,Call of duty,more than 3 hour,less than 1 hour,Nothing,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,no,no
23,male,Graduate,Lahore,joint,sports,8 ball poll,less than 1 hour,less than 1 hour,Nothing,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,no,yes
